127.0.0.1 - - [26/Mar/2020:10:46:22 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [26/Mar/2020:10:46:23 +0900] "GET /exSample2/WEB-INF/classes/sample/action/member/memberInsertAction.java HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Mar/2020:10:47:14 +0900] "GET /exSample2/member?command=member_login HTTP/1.1" 200 4681
0:0:0:0:0:0:0:1 - - [26/Mar/2020:10:47:14 +0900] "GET /exSample2/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:10:47:14 +0900] "GET /exSample2/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:10:47:14 +0900] "GET /exSample2/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:10:48:00 +0900] "GET /exSample2/member?command=member_login HTTP/1.1" 200 4672
0:0:0:0:0:0:0:1 - - [26/Mar/2020:10:48:00 +0900] "GET /exSample2/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:10:48:00 +0900] "GET /exSample2/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:10:48:00 +0900] "GET /exSample2/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2020:10:48:08 +0900] "POST /exSample2/member HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [26/Mar/2020:10:48:12 +0900] "POST /exSample2/member HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [26/Mar/2020:10:48:17 +0900] "POST /exSample2/member HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [26/Mar/2020:10:48:21 +0900] "POST /exSample2/member HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [26/Mar/2020:10:48:35 +0900] "POST /exSample2/member HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [26/Mar/2020:10:48:41 +0900] "GET /exSample2/member?command=member_login HTTP/1.1" 200 4672
0:0:0:0:0:0:0:1 - - [26/Mar/2020:10:48:41 +0900] "GET /exSample2/css/font-awesome.min.css HTTP/1.1" 304 -
